Landkreis,Crop,Variety,A_ha,P_per_A,P_t,Year
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte",Feldgras/Grasanbau,,5.066,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte","Klee, Kleegras und Klee-Luzerne-Gemisch",,7.268,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte",Leguminosen,,,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte","Luzerne, Luzernegras",,,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte",Silomais,,29.146,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte",Weiden,,5.724,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte",Wiesen,,4.538,,2001-2005
Barnim,"Futterpflanzen, Dauergruenland, Gruenernte",Wiesen und Maehweiden zusammen,,5.36,,2001-2005
Barnim,Getreide,Brotgetreide zusammen,,4.79,,2001-2005
Barnim,Getreide,Futter- und Industriegetreide,,4.336,,2001-2005
Barnim,Getreide,Gerste zusammen,,4.9,,2001-2005
Barnim,Getreide,Getreide insgesamt,,4.684,,2001-2005
Barnim,Getreide,Getreide zur Ganzpflanzenernte,,,,2001-2005
Barnim,Getreide,Getreide zusammen (ohne Koernermais und Corn-Cob-Mix),,4.582,,2001-2005
Barnim,Getreide,Hafer,,3.314,,2001-2005
Barnim,Getreide,Koernermais (einschl. Corn-Cob-Mix),,8.094,,2001-2005
Barnim,Getreide,Roggen,,4.794,,2001-2005
Barnim,Getreide,Roggen und Wintermenggetreide,,,,2001-2005
Barnim,Getreide,Sommergerste,,3.368,,2001-2005
Barnim,Getreide,Triticale,,4.262,,2001-2005
Barnim,Getreide,Weizen zusammen,,4.78,,2001-2005
Barnim,Getreide,Wintergerste,,5.274,,2001-2005
Barnim,Getreide,Winterweizen einschl. Dinkel,,4.97,,2001-2005
Barnim,Hackfruechte,Kartoffeln zusammen,,29.772,,2001-2005
Barnim,Hackfruechte,mittelfruehe und spaete Kartoffeln,,29.824,,2001-2005
Barnim,Hackfruechte,Zuckerrueben,,,,2001-2005
Barnim,Huelsenfruechte,Erbsen,,,,2001-2005
Barnim,Huelsenfruechte,Lupinen,,,,2001-2005
Barnim,Oelfruechte,Raps und Ruebsen zusammen,,,,2001-2005
Barnim,Oelfruechte,Sonnenblumen,,,,2001-2005
Barnim,Oelfruechte,Winterraps,,3.174,,2001-2005
Brandenburg an der Havel (KfS),"Futterpflanzen, Dauergruenland, Gruenernte",Feldgras/Grasanbau,,,,2001-2005
Brandenburg an der Havel (KfS),"Futterpflanzen, Dauergruenland, Gruenernte","Klee, Kleegras und Klee-Luzerne-Gemisch",,,,2001-2005
Brandenburg an der Havel (KfS),"Futterpflanzen, Dauergruenland, Gruenernte",Leguminosen,,,,2001-2005
