Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;48;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;68.9;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;70.8;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;278.1;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;57.3;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;46.5;NA;2001-2006
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;54;NA;2001-2006
Barnim;Getreide;Brotgetreide zusammen;NA;46.8;NA;2001-2006
Barnim;Getreide;Futter- und Industriegetreide;NA;43.1;NA;2001-2006
Barnim;Getreide;Gerste zusammen;NA;48.6;NA;2001-2006
Barnim;Getreide;Getreide insgesamt;NA;46;NA;2001-2006
Barnim;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Barnim;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;45.1;NA;2001-2006
Barnim;Getreide;Hafer;NA;33.1;NA;2001-2006
Barnim;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;75.9;NA;2001-2006
Barnim;Getreide;Roggen;NA;47.1;NA;2001-2006
Barnim;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Barnim;Getreide;Sommergerste;NA;34.6;NA;2001-2006
Barnim;Getreide;Triticale;NA;41.9;NA;2001-2006
Barnim;Getreide;Weizen zusammen;NA;46.4;NA;2001-2006
Barnim;Getreide;Wintergerste;NA;52;NA;2001-2006
Barnim;Getreide;Winterweizen einschl. Dinkel;NA;48.1;NA;2001-2006
Barnim;Hackfruechte;Kartoffeln zusammen;NA;283.6;NA;2001-2006
Barnim;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;283.9;NA;2001-2006
Barnim;Hackfruechte;Zuckerrueben;NA;478.5;NA;2001-2006
Barnim;Huelsenfruechte;Erbsen;NA;22. Jan;NA;2001-2006
Barnim;Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Barnim;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Barnim;Oelfruechte;Sonnenblumen;NA;22. Aug;NA;2001-2006
Barnim;Oelfruechte;Winterraps;NA;32.3;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Brotgetreide zusammen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Futter- und Industriegetreide;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Gerste zusammen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Getreide insgesamt;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Hafer;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Roggen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Sommergerste;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Triticale;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Weizen zusammen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Wintergerste;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Getreide;Winterweizen einschl. Dinkel;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
